DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2014-Q1,8501.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2014-Q2,8655.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2014-Q3,8613.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2014-Q4,8607.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2015-Q1,8109.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2015-Q2,8402.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2015-Q3,8536.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2015-Q4,7987.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2016-Q1,8551.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2016-Q2,8614.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2016-Q3,7777.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2016-Q4,8049.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2017-Q1,8012.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2017-Q2,8026.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2017-Q3,8254.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2017-Q4,7626.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2018-Q1,7860.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2018-Q2,7821.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2018-Q3,7402.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2018-Q4,8341.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2019-Q1,8093.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2019-Q2,8436.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2019-Q3,8626.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2019-Q4,7665.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2020-Q1,7734,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2020-Q2,8439.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2020-Q3,7919.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2020-Q4,9045.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2021-Q1,8029,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2021-Q2,8584,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2021-Q3,8726.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2021-Q4,9339.4,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2022-Q1,9578.3,AUD,6,p,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2011-Q3,274405,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2011-Q4,278424.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2012-Q1,274134.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2012-Q2,275411.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2012-Q3,274237.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2012-Q4,275016.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2013-Q1,278566,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2013-Q2,279034.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2013-Q3,282749.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2013-Q4,293287.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2014-Q1,298325.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2014-Q2,299268.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2014-Q3,299513.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2014-Q4,308158.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2015-Q1,310360.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2015-Q2,310053.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2015-Q3,315076.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2015-Q4,318887.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2016-Q1,322220.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2016-Q2,321739.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2016-Q3,323063.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2016-Q4,330978.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2017-Q1,336102.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,4,Q,2017-Q2,335643.4,AUD,6,,
